refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,category,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
OFOQUY,OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Ca,4.66039,4.08055,4.66039,medium pore,0.1813094699425435,0.5,0.00468055189886553,50.55482227098926,66
OFORUZ,OC(=O)c1ccc2c(c1)[nH]c(=O)[nH]c1c2ccc(c1)C(=O)O,Zn,8.85494,5.36427,8.8499,medium pore,0.7620982852328051,0.11357586512866016,0.0005628917861162985,104.54435451128923,3
OFOYUG,OC(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)O,Ca,5.0657,3.71977,5.06271,small pore,0.5183254054805414,0.4067796610169492,0.0019161775934586167,42.6161947203341,66
OFUCEZ,OC(=O)/C=C/C(=O)O,Ce,4.92552,4.17212,4.92319,medium pore,0.0,1.0,0.0,0.9905377164913204,701
OFUWAP,OC(=O)COc1ccc(cc1C(=O)O)C(=O)O,Dy,3.27454,0.93816,3.27454,nonporous,0.7823826310628514,0.02654867256637168,0.000632107736626676,2.4622032215180822,181
OFUWIV,OC(=O)CCC(=O)O,Zn,1.70593,1.29657,1.70593,nonporous,0.6334345541433295,0.21621621621621623,0.10369469273578864,14.058913150938828,116
OFUWIV01,OC(=O)CCC(=O)O,Zn,1.7,1.29582,1.7,nonporous,0.6354445331332292,0.21621621621621623,0.10369469273578864,14.05858148214344,116
OFUWIV02,OC(=O)CCC(=O)O,Zn,1.537,0.84644,1.41986,nonporous,0.6344815142712501,0.21621621621621623,0.10369469273578864,14.06234059405344,116
OFUWIX,OC(=O)COc1ccc(cc1C(=O)O)C(=O)O,Gd,3.30233,0.95795,2.26238,nonporous,0.20892228191342277,0.01886792452830189,0.037258180081203726,2.408835698086813,195
OFUYUL,Oc1cc(cc(c1)C(=O)O)C(=O)O,Zn,6.57704,4.20847,6.57704,medium pore,0.16325037421813626,0.31854480922803907,0.0004989070929730385,305.06642140561104,3
OGEBAF,OC(=O)c1ccc(cc1)C#Cc1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.43484,9.28963,13.03974,large pore,0.24678010672183637,0.20309050772626933,0.000535066808983002,157.95128937745096,1
OGEBAF01,OC(=O)c1ccc(cc1)C#Cc1cc(cc(c1)C(=O)O)C(=O)O,Cu,13.23999,9.42859,13.2356,large pore,0.2467483688913878,0.20309050772626933,0.000535066808983002,157.91547204347432,1
OGEQAU,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,U,3.05879,1.61299,2.02199,nonporous,0.4196182758004171,0.3013698630136986,0.014560223416636448,18.91654091915354,451
OGESUP,OC(=O)CCCCC(=O)O,Pb,1.50373,0.90174,1.33052,nonporous,0.1495375477798962,0.10828025477707007,0.01814878327617176,15.574461327851543,127
OGIJIY,OC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,Sm,4.47393,3.63963,4.47239,small pore,0.4,1.0,0.0,1.8089312653987806,447
OGOJAX,OC(=O)c1cc(C#Cc2ccc(cc2)C(=O)O)cc(c1)C#Cc1ccc(cc1)C(=O)O,Cu,15.34906,9.73806,15.34906,large pore,0.22060897007328514,0.18322295805739514,0.0004368867409638072,140.52032467832086,1
OGUJOR,n1ncn(c1)NNn1cnnc1,Cu,4.1213,3.44003,4.1213,small pore,0.3057822414149996,1.0,0.0,4.999878211844436,298
OGULUY,CCc1[nH]nc(n1)CC,Cu,6.43871,4.2952,6.42641,medium pore,0.6844424263394648,0.5641025641025641,0.0019559794938644524,20.968603357305945,42
OGUPIQ,Nc1cc(cc(c1)C(=O)O)C(=O)O,Co,4.60652,3.18859,4.60652,small pore,0.22491503919124306,0.15058479532163743,0.00033064664556873555,87.70997733308059,55
OGURAK,OC(=O)c1ccc(cc1)c1nnn[nH]1,Cu,9.49313,3.41944,9.48651,small pore,0.21911562105591656,0.18552036199095023,0.00014184791914346223,34.368660529570725,56
OGUREO,OC(=O)c1cc(cc(c1)P(=O)(O)O)P(=O)(O)O,Cu,3.09752,1.38432,3.08216,nonporous,0.13398218782112903,0.11147902869757174,0.00021184370882609499,85.99051746336016,1
OGUZIA,OC(=O)[C@H](P(=O)(O)O)O,Zn,4.34698,3.82009,4.34698,small pore,0.0,1.0,0.0,2.9973109395661615,456
OHAGAH,OC(=O)c1cc(OCc2ccncc2)cc(c1)C(=O)O,Cu,5.37464,3.86782,5.36489,small pore,0.2127257563914316,0.17880794701986755,0.0005771032090024941,133.71596937081316,1
